Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name||TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
01/07/2019 12:04:42:423|14561326233384712|14561326233384712|10.95.214.136|AUTACT|971520003088||NACT_AED4DailySlBundle300MB|0|SUCCESS|1001|1449|AED4DailySlBundle300MB|Data|400|400|1 Days|WEB|RS NACT_UAE_Data_1449|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||26/06/2019 12:04:41:000|02/07/2019 12:04:42:000|30/06/2019 12:04:42:000|12/07/2019 12:04:42:000|active|Renewal||active||2|14561326233384712|Your AED 4 Daily Social Bundle 300 MB was successfully renewed. Enjoy 300 MB social data valid for 24 hours. To check your balance anytime, SMS 'Bal' to 1355.||||||||||||||||||Bundle|D_RenewDailySocD_3_R|C_PurchDailySocData_3_R|DailyRecSocData1||||||false|
01/07/2019 12:06:59:340|1561968419245|||USSDBrowsing|971520001714||||||||||||USSD|*143#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:07:11:314|1561968419245|||USSDBrowsing|971520001714||||||||||||USSD|*143*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:07:19:951|1561968419245|||USSDBrowsing|971520001714||||||||||||USSD|*143*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:07:28:971|1561968419245|||USSDBrowsing|971520001714||||||||||||USSD|*143*2*1*2*5#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:07:29:046|1561968419245|2533488450618|10.95.214.136|NACT|971520001714||NACT_NewPhilOff_SMS26|0|SUCCESS|1001|1623|NewPhilOff_SMS26|SMS|0|0|1 Days|USSD|*143*2*1*2*5#||5|2|USSD|UAE|AIR||true||||||||||||01/07/2019 12:07:29:000|02/07/2019 12:07:29:000||||Adhoc||||0|2533488450618|Your requested bundle is already active.|||||||||||||||||||||||||||false|
01/07/2019 12:07:37:896|234872789|2533488457931|10.95.214.136|LIST_DU_FAF|971520000280||LIST_MeMineChgFaFNat|0|SUCCESS|1152|1793|MeMineChgFaFNat|FAF|0|0|1 Hours|WEB|TIBCO LIST_UAE_FAF_1793||5|2|TIBCO|UAE|AIR||false||||||||||||01/07/2019 12:07:37:000|01/07/2019 13:07:37:000||||Adhoc||||1|2533488457931|View FaF request is successful.|||||||||||||||||||||||||||false|
01/07/2019 12:07:39:223|234871275|2533488460861|10.95.214.136|DACT|971520001840||DACT_RBT|0|SUCCESS|1007|1438|RBT|Others|0|0|9999 Days|WEB|TIBCO DACT_UAE_Others_1438||5|2|TIBCO|UAE|AIR||true|||||||||||||01/07/2019 12:07:39:000||||Adhoc|DeprovisionInProgress|||1|2533488460861||||||||||||||||||||||||||||false|
01/07/2019 12:07:46:380|2533488460861|2533488467950|10.95.214.136|DACT|971520001840||DACT_RBT|0|SUCCESS|1007|1438|RBT|Others|0|0|9999 Days|WEB|TIBCO DACT_UAE_Others_1438||5|2|TIBCO|UAE|AIR||true|||||||||||||01/07/2019 12:07:46:000||||Adhoc|DeprovisionCompleted|||1|2533488467950||||||||||||||||||||||||||||true|
01/07/2019 12:10:21:611|123456764|||USSDBrowsing|971520002250||||||||||||USSD|*111#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
