Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name||TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
01/07/2019 12:46:42:994|0114301561970723725|2533520814234|10.95.214.136|NACT|971550011430||NACT_Subscriber_Language_Change|0|SUCCESS|1001|1071|Subscriber_Language_Change|Others|0|0|23 Hours|WEB|ESERV NACT_UAE_Others_1071||5|2|ESERV|UAE|AIR||true||||||||||||01/07/2019 12:46:42:000|02/07/2019 11:46:42:000||||Adhoc||||1|2533520814234|Your language is changed.|||||||||||||||||||||||||||false|
01/07/2019 12:48:04:893|1000103636|2533490884961|10.95.214.136|RACT|971520000559||RACT_OneWayFnFWeekly1|0|SUCCESS|1002|2064|OneWayFnFWeekly1|Voice|1904|1904|7 Days|WEB|TIBCO RACT_UAE_Voice_2064|Reserve-Commit|5|2|TIBCO|UAE|ScapV2||false|||SIEBEL||||||SIEBEL||||08/07/2019 12:48:04:000||||Renewal||||3|2533490884961|Your subscription request is being processed. You will receive a confirmation SMS once done.||||||||||||||||||Bundle|D_WIndia_N|C_WIndia_N|OneWayFnFWeekly_PC||||||false|
01/07/2019 12:48:04:929|1000103636|2533490885245|10.95.214.136|OPOT|971520000559||OPOT_UAE_Voice_2079|136|FAILURE|1002|2079|OneWayFnFMonthly1|Voice|6571|0|30 Days|CIS|null OPOT_UAE_Voice_2079||6571|2|TIBCO|UAE|ScapV2||false|||||||||||||||||Renewal||||1|2533490885245|Your Request for Renewal off of your existing product has been Failed.|||||||||||||||||||||||||||false|RACT_OneWayFnFWeekly1
01/07/2019 12:48:05:486|1561970885379|||USSDBrowsing|971520002537||||||||||||USSD|*135*112*1*6#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:48:08:099|1561970885338|||USSDBrowsing|971520002537||||||||||||USSD||||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:49:16:294|1561970956149|||USSDBrowsing|971520001714||||||||||||USSD|*143#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:49:25:376|1561970956149|||USSDBrowsing|971520001714||||||||||||USSD|*143*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:49:28:549|1561970956149|||USSDBrowsing|971520001714||||||||||||USSD|*143*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:50:00:235|14564044248715380|14564044248715380|10.95.214.136|DACT|971520002511||DACT_ZNGRDailyRec2|9001|FAILURE|1001|1570|ZNGRDailyRec2|Combo|200|0|1 Days|WEB|RS DACT_UAE_Combo_1570||5|2|RS|UAE|ScapV2|true|true||||||||||||30/06/2019 12:29:38:000|01/07/2019 12:28:40:000|||active|Renewal|DeprovisionInProgress|active||0|14564044248715380||||||||||||||||||||||||||||false|
01/07/2019 12:50:42:358|1561971042166|||USSDBrowsing|971520001714||||||||||||USSD|*143#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:50:54:679|1561971042166|||USSDBrowsing|971520001714||||||||||||USSD|*143*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:51:02:620|1561971042166|||USSDBrowsing|971520001714||||||||||||USSD|*143*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:52:39:929|1561971159787|||USSDBrowsing|971520001714||||||||||||USSD|*143#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:52:45:768|1561971159787|||USSDBrowsing|971520001714||||||||||||USSD|*143*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:52:47:474|14564211233384939|14564211233384939|10.95.214.136|AUTACT|971520002419||NACT_NonstopDailyDBundle3AED|0|SUCCESS|1001|1146|NonstopDailyDBundle3AED|Data|300|300|1 Days|WEB|RS NACT_UAE_Data_1146|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||17/06/2019 12:52:46:000|02/07/2019 12:52:47:000|30/06/2019 12:52:47:000|05/07/2019 12:52:47:000|active|Renewal||active||3|14564211233384939|Your nonstop daily data bundle is renewed. Enjoy nonstop daily data at 192Kbps speed with a fair usage limit of 150MB. After fair usage, speed will be reduced. Bundle will be automatically renewed daily for AED 3. Dial *135*777# to manage subscription.||||||||||||||||||Bundle|D_BronzeDailyRenew_R|C_BronzeDailyRenew_R|||||||false|
01/07/2019 12:52:48:950|1561971159787|||USSDBrowsing|971520001714||||||||||||USSD|*143*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:54:30:458|14564314232705597|14564314232705597|10.95.214.136|AUTACT|971520000623||NACT_KBChatnCallRec|0|SUCCESS|1005|1616|KBChatnCallRec|Combo|300|300|1 Days|WEB|RS NACT_UAE_Combo_1616|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||24/06/2019 12:54:29:000|02/07/2019 12:54:30:000|30/06/2019 12:54:30:000|05/07/2019 12:54:30:000|active|Renewal||active||2|14564314232705597|Your Existing Product is Renewed successfully.||||||||||||||||||Bundle|D_DChatNCall_R|C_DChatNCall_R;C_CnCCountSet1day_N|||||||false|
01/07/2019 12:55:00:404|14564344248178751|14564344248178751|10.95.214.136|AUTOEXP_NETWORK|971520001714||DACT_KBChatnCallSingle|0|SUCCESS|1001|1528|KBChatnCallSingle|Combo|300|0|24 Hours|WEB|RS DACT_UAE_Combo_1528||5|2|RS|UAE|ScapV2|true|true||||||||||||30/06/2019 12:52:13:000|01/07/2019 12:55:00:000|||inactive|Adhoc|DeprovisionInProgress|active|01/07/2019 12:55:00:000|0|14564344248178751|Your Request is in Progress,shortly you will receive confirmation.|||||||||||||||||||||||||||false|
01/07/2019 12:55:00:511|14564344248178751|2533491302134|10.95.214.136|DELCOM|971520001714||DELCOM_UAE_COMMUNITY_2095|9001|FAILURE|1001|2095|CUG_CommunityID|COMMUNITY|0|0|1 Hours|CIS|null DELCOM_UAE_COMMUNITY_2095||5|2|CIS|UAE|AIR||false||||||||||||01/07/2019 12:55:00:000|01/07/2019 13:55:00:000||||Adhoc||||1|2533491302134|Your UnSubscription request could not be processed.Request Failed.|||||||||||||||||||||||||||false|KBChatnCallSingle
01/07/2019 12:55:01:387|14564344248178751|2533491302887|10.95.214.136|DACT|971520001714||DACT_KBChatnCallSingle|0|SUCCESS|1001|1528|KBChatnCallSingle|Combo|300|0|24 Hours|WEB|TIBCO DACT_UAE_Combo_1528||5|2|TIBCO|UAE|ScapV2||true|||||||||||||01/07/2019 12:55:01:000|||inactive|Adhoc|DeprovisionCompleted|active|01/07/2019 12:55:01:000|0|2533491302887|Dear Customer, your request to de-activate bundle is under process||||||||||||||||||||C_CnCallConfUnSub_N|ChatNCallOneOff_PC,1||||||true|
01/07/2019 12:55:01:486|14564344248178751|2533491303118|10.95.214.136|DELCOM|971520001714||DELCOM_UAE_COMMUNITY_2095|9001|FAILURE|1001|2095|CUG_CommunityID|COMMUNITY|0|0|1 Hours|CIS|null DELCOM_UAE_COMMUNITY_2095||5|2|CIS|UAE|AIR||false||||||||||||01/07/2019 12:55:01:000|01/07/2019 13:55:01:000||||Adhoc||||1|2533491303118|Your UnSubscription request could not be processed.Request Failed.|||||||||||||||||||||||||||false|DACT_KBChatnCallSingle
01/07/2019 12:55:18:861|1561971318750|||USSDBrowsing|971520001946||||||||||||USSD|*800*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 12:55:29:024|1561971318750|||USSDBrowsing|971520001946||||||||||||USSD|*800*3*1*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
