Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name||TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
03/07/2019 11:15:46:867|1000104531|2533658148210|10.95.214.136|NACT|971520001714||NACT_MoreDataHS50AED|0|SUCCESS|1006|1266|MoreDataHS50AED|Data|5000|5000|30 Days|WEB|TIBCO NACT_UAE_Data_1266|Reserve-Commit|5|2|TIBCO|UAE|ScapV2||false|||SMSAPP||||||SMSAPP|||03/07/2019 11:15:46:000|02/08/2019 11:15:46:000||||Adhoc||||2|2533658148210|You have successfully transferred AED 50 More Time to buy 450 MB More Data with 30 days validity. To check your new balance, please end your current data session then dial *135# or press 'check balance' on your internet key dashboard. Thanks!||||||||||||||||||MoreTime_To_MoreData|D_MoreDataHS50AED_N|D_MoreDataHS50AED_N|||||||false|
03/07/2019 11:16:17:856|1000104532|2533658180194|10.95.214.136|NACT|971520002417||NACT_OneWayFnFUpdate|9001|FAILURE|1001|2067|OneWayFnFUpdate|Voice|0|0|9999 Months|WEB|TIBCO NACT_UAE_Voice_2067||5|2|TIBCO|UAE|AIR||false|||SIEBEL||||||SIEBEL|||03/07/2019 11:16:17:000|03/10/2852 11:16:17:000||||Adhoc||||0|2533658180194|||||||9715200001222|||1||||||||||||||||||false|
03/07/2019 11:16:24:017|1000104533|2533658186352|10.95.214.136|NACT|971520002417||NACT_OneWayFnFUpdate|9001|FAILURE|1001|2067|OneWayFnFUpdate|Voice|0|0|9999 Months|WEB|TIBCO NACT_UAE_Voice_2067||5|2|TIBCO|UAE|AIR||false|||SIEBEL||||||SIEBEL|||03/07/2019 11:16:24:000|03/10/2852 11:16:24:000||||Adhoc||||0|2533658186352|||||||971520001222|||1||||||||||||||||||false|
03/07/2019 11:18:11:372|1562138290874|2533658293408|10.95.214.136|NACT|971520002519||NACT_SpecialIDDOfferCVM1|0|SUCCESS|1051|1654|SpecialIDDOfferCVM1|Voice|0|0|9999 Days|USSD|*135*71*4#|Reserve-Commit|0|2|USSD|UAE|ScapV2||false||||||||||||03/07/2019 11:18:11:000|17/11/2046 11:18:11:000||||Adhoc||||4|2533658293408|1000 International Minutes with Friends & Family bundles starting from 69 dirhams. Dial *135*90#. Thanks for using du interactive service||||||||||||||||||VAS|BE_CVMAct||||||||false|
03/07/2019 11:18:11:416|1562138290874|||USSDBrowsing|971520002519||||||||||||USSD|*135*71*4#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
03/07/2019 11:18:32:821|1562138312707|||USSDBrowsing|971520002222||||||||||||USSD|*135*90*1*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
03/07/2019 11:18:40:249|1562138312707|||USSDBrowsing|971520002222||||||||||||USSD|*135*90*1*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
03/07/2019 11:18:47:321|1000104534|2533658328608|10.95.214.136|NACT|971520001714||NACT_MoreDataHS100AED|0|SUCCESS|1006|1241|MoreDataHS100AED|Data|10000|10000|30 Days|WEB|TIBCO NACT_UAE_Data_1241|Reserve-Commit|5|2|TIBCO|UAE|ScapV2||false|||SMSAPP||||||SMSAPP|||03/07/2019 11:18:47:000|02/08/2019 11:18:47:000||||Adhoc||||2|2533658328608|You have successfully transferred AED 100 More Time to buy 1GB More Data with 30 days validity. To check your new balance, please end your current data session then dial *135# or press 'check balance' on your internet key dashboard. Thanks!||||||||||||||||||MoreTime_To_MoreData|D_MoreDataHS100AED_N|C_MoreDataHS100AED_N|||||||false|
03/07/2019 11:18:47:857|1562138312707|||USSDBrowsing|971520002222||||||||||||USSD|*135*90*1*2*1*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
03/07/2019 11:18:56:427|1562138312707|||USSDBrowsing|971520002222||||||||||||USSD|*135*90*1*2*1*2*1*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
