Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name||TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
11/07/2019 13:58:22:217|1562839101944|||USSDBrowsing|971520001714||||||||||||USSD|*135*59*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
11/07/2019 13:58:24:560|0010271562839049515|2534359105514|10.95.214.136|NACT|971520001027||NACT_Subscriber_Language_Change|0|SUCCESS|1001|1071|Subscriber_Language_Change|Others|0|0|23 Hours|WEB|ESERV NACT_UAE_Others_1071||5|2|ESERV|UAE|AIR||true||||||||||||11/07/2019 13:58:24:000|12/07/2019 12:58:24:000||||Adhoc||||1|2534359105514|Your language is changed.|||||||||||||||||||||||||||false|
11/07/2019 13:58:34:083|1562839101944|2534359115198|10.95.214.136|NACT|971520001714||NACT_CallHomeforLess|0|SUCCESS|1051|820|CallHomeforLess|Voice|0|0|9999 Days|USSD|*135*59*2*1#|Reserve-Commit|0|2|USSD|UAE|ScapV2||false||||||||||||11/07/2019 13:58:33:000|25/11/2046 13:58:33:000||||Adhoc||||2|2534359115198|1000 International Minutes with Friends &amp; Family bundles starting from 69 dirhams. Dial *135*90#. Thanks for using du interactive service||||||||||||||||||||C_Priceshout_N|||||||false|
11/07/2019 13:58:34:125|1562839101944|||USSDBrowsing|971520001714||||||||||||USSD|*135*59*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
11/07/2019 13:59:51:279|1562839190996|||USSDBrowsing|971520001027||||||||||||USSD|*555*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
11/07/2019 13:59:55:035|1562839190996|2534359195272|10.95.214.136|NACT|971520001027||NACT_Start_Stop_Phase1|0|SUCCESS|1001|1681|Start_Stop_Phase1|Data|30|30|4 Hours|USSD|*555*3*1*3#|Reserve-Commit|5|2|USSD|UAE|ScapV2||false||||||||||||11/07/2019 13:59:55:000|11/07/2019 17:59:54:000||||Adhoc|SubscriptionCompleted|||2|2534359195272|Your request to activate START STOP Data service is being processed. You will receive a SMS once the service is active.||||||||||||||||||Data|D_StartStop_N|C_StartUSSD_N|StartStopAutoStop_PC||||||false|
11/07/2019 13:59:55:051|1562839190996|||USSDBrowsing|971520001027||||||||||||USSD|*555*3*1*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
11/07/2019 14:01:50:824|234871272|2534359311504|10.95.214.136|RACT|971520000985||RACT_MetallicNumbers|0|SUCCESS|1001|1014|MetallicNumbers|Data|0|0|30 Days|WEB|HPSA RACT_UAE_Data_1014|Reserve-Commit|5|2|HPSA|UAE|ScapV2||false|||||||||||||||||Renewal||||2|2534359311504|||||||||||||||||||||C_PAYGDataBenifit_N|PAYGMetDataBenfit_PC||||||false|
11/07/2019 14:03:49:520|1562839429252|||USSDBrowsing|971520001027||||||||||||USSD|*135*68*7*6#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
11/07/2019 14:04:06:643|1562839429252|2534359446944|10.95.214.136|RACT|971520001027||RACT_Daily_Saver_Bundle|0|SUCCESS|1001|996|Daily_Saver_Bundle|Combo|250|250|1 Days|USSD|*135*68*7*6*1*1#|Reserve-Commit|5|2|USSD|UAE|ScapV2||false|||||||||||||12/07/2019 14:04:06:000||||Renewal||||2|2534359446944|1000 International Minutes with Friends & Family bundles starting from 69 dirhams. Dial *135*90#. Thanks for using du interactive service||||||||||||||||||Bundle|D_DailyValueBndl_R|C_DailyValueBndl_R|DailyValueBndl_PC||||||false|
11/07/2019 14:04:06:686|1562839429252|||USSDBrowsing|971520001027||||||||||||USSD|*135*68*7*6*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
11/07/2019 14:08:00:285|15432724252349503|15432724252349503|10.95.214.136|AUTACT|971520006952||NACT_ICP_Daily|0|SUCCESS|1051|2098|ICP_Daily|Data|500|500|1 Days|WEB|RS NACT_UAE_Data_2098|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||26/06/2019 13:36:25:000|12/07/2019 14:08:00:000|10/07/2019 13:52:00:000|27/07/2019 14:08:00:000|active|Renewal||active||1|15432724252349503|You daily Internet Calling Pack Plus has been successfully renewed. You have been charged AED 5.25 (VAT inclusive).||||||||||||||||||Data|D_Merc2Daily_R|C_Merc2DRenew_R|||||||false|
11/07/2019 14:08:00:342|15432724286855813|15432724286855813|10.95.214.136|AUTACT|971520006976||NACT_ICP_Daily|0|SUCCESS|1051|2098|ICP_Daily|Data|500|500|1 Days|WEB|RS NACT_UAE_Data_2098|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||26/06/2019 13:35:23:000|12/07/2019 14:08:00:000|10/07/2019 13:35:24:000|27/07/2019 14:08:00:000|active|Renewal||active||1|15432724286855813|You daily Internet Calling Pack Plus has been successfully renewed. You have been charged AED 5.25 (VAT inclusive).||||||||||||||||||Data|D_Merc2Daily_R|C_Merc2DRenew_R|||||||false|
