Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|Input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name|TDF_Voucher_Type|TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
15/07/2019 17:16:40:604|1000040996|2534716603030|10.95.214.136|OPOT|971520002600||OPOT_ICP_Mercury|0|SUCCESS|1001|1523|ICP_Mercury|Data|500000|0|30 Days|WEB|INUI OPOT_UAE_Data_1523||5|2|INUI|UAE|ScapV2||true|||||||||||||14/08/2019 17:16:40:000||||Renewal|SubscriptionCompleted|||1|2534716603030|Your request to deactivate the service has been registered. You will receive a confirmation SMS once the service has been deactivated.|||||||||||||||||||||||||||false|
15/07/2019 17:19:02:081|1563196741855|||USSDBrowsing|971520002574||||||||||||USSD|*135*59*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
15/07/2019 17:19:06:285|0062351563196697847|2534716752455|10.95.214.136|NACT|971520006235||NACT_Subscriber_Language_Change|0|SUCCESS|1001|1071|Subscriber_Language_Change|Others|0|0|23 Hours|WEB|ESERV NACT_UAE_Others_1071||5|2|ESERV|UAE|AIR||true||||||||||||15/07/2019 17:19:06:000|16/07/2019 16:19:06:000||||Adhoc||||1|2534716752455|Your language is changed.|||||||||||||||||||||||||||false|
15/07/2019 17:19:13:082|1563196741855|2534716755495|10.95.214.136|NACT|971520002574||NACT_PriceShout_info|0|SUCCESS|1001|987|PriceShout_info|SMS|0|0|1 Days|USSD|*135*59*1*2#||5|2|USSD|UAE|AIR||false||||||||||||15/07/2019 17:19:12:000|16/07/2019 17:19:12:000||||Adhoc||||1|2534716755495|1000 International Minutes with Friends &amp; Family bundles starting from 69 dirhams. Dial *135*90#. Thanks for using du interactive service|||||||||||||||||||||||||||false|
15/07/2019 17:19:13:119|1563196741855|||USSDBrowsing|971520002574||||||||||||USSD|*135*59*1*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
15/07/2019 17:19:35:346|15789819233844246|15789819233844246|10.95.214.136|AUTACT|971520006016||NACT_DlyUnlSocBndl|0|SUCCESS|1001|1699|DlyUnlSocBndl|Data|20000|20000|1 Days|WEB|RS NACT_UAE_Data_1699|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||11/07/2019 17:19:34:000|16/07/2019 17:19:35:000|14/07/2019 17:19:35:000|19/07/2019 17:19:35:000|active|Renewal||active||2|15789819233844246|Your Existing Product is Renewed successfully.||||||||||||||||||Bundle|D_BronzeMonRenew_R|C_BronzeMonthlyRenew_R|||||||false|
15/07/2019 17:21:07:311|1563196867132|||USSDBrowsing|971520006020||||||||||||USSD|*555*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
15/07/2019 17:21:16:437|1563196867132|||USSDBrowsing|971520006020||||||||||||USSD|*555*2*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
15/07/2019 17:21:25:734|1563196867132|2534716891568|10.95.214.136|DACT|971520006020||DACT_Start_Stop_Phase1|0|SUCCESS|1001|1681|Start_Stop_Phase1|Data|3000|0|4 Hours|USSD|*555*2*1*1*1*2#||5|2|USSD|UAE|ScapV2||true|||||||||||||15/07/2019 17:21:25:000||||Adhoc||||1|2534716891568|Your request to deactivate START STOP Data service is being processed. You will receive an SMS once the service has been successfully stopped.||||||||||||||||||||C_StopUSSD_N|StartStopAutoStop_PC,1||||||false|
15/07/2019 17:21:25:749|1563196867132|||USSDBrowsing|971520006020||||||||||||USSD|*555*2*1*1*1*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
15/07/2019 17:23:00:367|15790024234426389|15790024234426389|10.95.214.136|AUTACT|971520001840||NACT_HotelPrepaidAct|0|SUCCESS|1007|1684|HotelPrepaidAct|Others|0|0|1 Days|WEB|RS NACT_UAE_Others_1684|Reserve-Commit|0|2|RS|UAE|ScapV2|true|false||||||||||||23/05/2019 13:52:38:000|16/07/2019 17:23:00:000|14/07/2019 17:23:00:000|16/07/2019 17:23:00:000|active|Renewal||active||2|15790024234426389|Your Existing Product is Renewed successfully.||||||||||||||||||||C_HotelPrepaidTopUp_R|HotelPrepaidTopUp_PC||||||false|
