Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name||TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
23/06/2019 18:00:44:331|13891488233358819|13891488233358819|10.95.214.136|AUTACT|971550000504||NACT_International_Booster_Pack|0|SUCCESS|1001|828|International_Booster_Pack|Voice|900|900|30 Days|WEB|RS NACT_UAE_Voice_828|Reserve-Commit|5|2|RS|UAE|ScapV2|true|false||||||||||||24/04/2019 18:00:00:000|23/07/2019 18:00:44:000|24/05/2019 18:00:44:000|26/07/2019 18:00:44:000|active|Renewal||active||2|13891488233358819|International Booster Pack is active and you will receive confirmation SMS soon||||||||||||||||||Bundle|D_IDDRateCutters_R||IDDRateCutters_PC||||||false|
23/06/2019 18:05:00:242|13891744246900687|13891744246900687|10.95.214.136|AUTOEXP_NETWORK|971520001717||DACT_ICP_Mercury_D|0|SUCCESS|1001|2129|ICP_Mercury_D|Data|500|0|1 Days|WEB|RS DACT_UAE_Data_2129||5|2|RS|UAE|ScapV2|true|false||||||||||||23/06/2019 16:53:12:000|24/06/2019 18:05:00:000|||inactive|Adhoc|DeprovisionInProgress|active|23/06/2019 18:05:00:000|1|13891744246900687|Your Request is in Progress,shortly you will receive confirmation.||||||||||||||||||||C_MercDPendingDeact_N|||||||false|
23/06/2019 18:05:01:348|13891744246900687|2532818702942|10.95.214.136|DACT|971520001717||DACT_ICP_Mercury_D|0|SUCCESS|1001|2129|ICP_Mercury_D|Data|500|0|1 Days|WEB|TIBCO DACT_UAE_Data_2129||5|2|TIBCO|UAE|ScapV2||true|||||||||||||23/06/2019 18:05:01:000|||inactive|Adhoc|DeprovisionCompleted|active|23/06/2019 18:05:01:000|0|2532818702942|Your Internet Calling Pack daily bundle has expired. To reactivate it,  SMS ‘DICP’ to 1012 or dial *135*35#.||||||||||||||||||||C_MercDDeactivation_N|||||||true|
23/06/2019 18:05:09:041|1561298708831|||USSDBrowsing|971520001717||||||||||||USSD|*135*123*8#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
23/06/2019 18:05:13:795|1561298708831|||USSDBrowsing|971520001717||||||||||||USSD|*135*123*8*1*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
23/06/2019 18:05:16:912|1561298708831|2532818718462|10.95.214.136|NACT|971520001717||NACT_Redirect to NACT_ICP_Mercury_D Offer 6668|0|SUCCESS|1001|2172|Redirect to NACT_ICP_Mercury_D Offer 6668|Others|0|0|1 Days|USSD|*135*123*8*1*2*1#||5|2|USSD|UAE|ScapV2||true||||||||||||23/06/2019 18:05:16:000|24/06/2019 18:05:16:000||||Adhoc||||0|2532818718462||||||||||||||||||||||||||||false|
23/06/2019 18:05:17:393|1561298708831|2532818718669|10.95.214.136|NACT|971520001717||NACT_ICP_Mercury_D|0|SUCCESS|1001|2129|ICP_Mercury_D|Data|500|500|1 Days|USSD|*135*123*8*1*1*1*4#|Reserve-Commit|5|2|USSD|UAE|ScapV2||false||||||||||||23/06/2019 18:05:17:000|24/06/2019 18:05:17:000||||Adhoc|SubscriptionInProgress|||0|2532818718669|Your request to activate this service is in progress. We’ll send you a confirmation SMS soon.||||||||||||||||||Data|D_MercuryDaily_N|C_MercDPendingAct_N|||||||false|
23/06/2019 18:05:17:472|1561298708831|||USSDBrowsing|971520001717||||||||||||USSD|*135*123*8*1*1*1*4#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
23/06/2019 18:05:18:415|2532818718669|2532818719828|10.95.214.136|NACT|971520001717||NACT_ICP_Mercury_D|0|SUCCESS|1001|2129|ICP_Mercury_D|Data|500|0|1 Days|WEB|TIBCO NACT_UAE_Data_2129||5|2|TIBCO|UAE|ScapV2||true||||||||||||23/06/2019 18:05:18:000|24/06/2019 18:05:18:000||||Adhoc|SubscriptionCompleted|||3|2532818719828|Your request to activate this service is in progress. We’ll send you a confirmation SMS soon.||||||||||||||||||||C_MercDOptIn_N|MercuryDaily_PC||||||true|
23/06/2019 18:06:21:798|1561298781648|||USSDBrowsing|971520001714||||||||||||USSD|*135*59*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
