Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name||TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
30/06/2019 17:15:45:657|1561900545529|||USSDBrowsing|971520002242||||||||||||USSD|*135*112*1*6#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:15:53:647|1561900545479|||USSDBrowsing|971520002242||||||||||||USSD||||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:17:11:635|1561900631517|||USSDBrowsing|971520002242||||||||||||USSD|*135*112*1*6#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:17:15:782|1561900631486|||USSDBrowsing|971520002242||||||||||||USSD||||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:18:03:034|1000103546|2533420685087|10.95.214.136|NACT|971520002417||NACT_CLMS_DataCampWK|0|SUCCESS|1001|1340|CLMS_DataCampWK|Others|5000|5000|1 Days|WEB|TIBCO NACT_UAE_Others_1340|Reserve-Commit|5|2|TIBCO|UAE|ScapV2||false|||CLMS|||||||||30/06/2019 17:18:03:000|07/07/2019 17:18:02:000||||Adhoc||||2|2533420685087|Your account has been credited successfully. For balance enquiries, dial *135#. Get daily deals on international and local mins, data, SMS and more, just dial *055#||||||CAMP2_DATA_477009|DataCampWK|1|1073741824|||||||||Campaign||C_DataCampWKCreation_N;C_PurchMonthlyCAMP2_DATA||DataCampWK|||||false|
30/06/2019 17:18:33:628|1561900713532|||USSDBrowsing|971520000559||||||||||||USSD|*135*90*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:18:40:725|1561900713532|||USSDBrowsing|971520000559||||||||||||USSD|*135*90*1*1*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:18:46:370|1561900713532|||USSDBrowsing|971520000559||||||||||||USSD|*135*90*1*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:18:46:425|1561900713532|2533420726913|10.95.214.136||971520000559||_Redirect_*135*120*1*2#|0|SUCCESS|1002|2150|Redirect_*135*120*1*2#|Others|0|0|9999 Days|USSD|||5|2|USSD|UAE|ScapV2||false||||||||||||30/06/2019 17:18:46:000|14/11/2046 17:18:46:000||||Adhoc||||0|2533420726913||||||||||||||||||||||||||||false|
30/06/2019 17:18:55:881|1561900713532|||USSDBrowsing|971520000559||||||||||||USSD|*135*90*1*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:19:02:836|1561900713532|||USSDBrowsing|971520000559||||||||||||USSD|*135*90*1*2*1*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:19:09:165||2533420749548|10.95.214.136|OPOT|971520000559||OPOT_UAE_Voice_2079|136|FAILURE|1002|2079|OneWayFnFMonthly1|Voice|6571|0|30 Days|CIS|null OPOT_UAE_Voice_2079||6571|2|TIBCO|UAE|ScapV2||false|||||||||||||||||Renewal||||1|2533420749548|Your Request for Renewal off of your existing product has been Failed.|||||||||||||||||||||||||||false|1
30/06/2019 17:19:09:234|1561900713532|2533420749337|10.95.214.136|RACT|971520000559||RACT_OneWayFnFWeekly1|0|SUCCESS|1002|2064|OneWayFnFWeekly1|Voice|1904|1904|7 Days|USSD|*135*90*1*2*1*2*1*3#|Reserve-Commit|5|2|USSD|UAE|ScapV2||false|||||||||||||07/07/2019 17:19:09:000||||Renewal||||3|2533420749337|Your subscription request is being processed. You will receive a confirmation SMS once done.||||||||||||||||||Bundle|D_WIndia_N|C_WIndia_N|OneWayFnFWeekly_PC||||||false|
30/06/2019 17:19:09:258|1561900713532|||USSDBrowsing|971520000559||||||||||||USSD|*135*90*1*2*1*2*1*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:20:36:405|1561900836175|||USSDBrowsing|971520001714||||||||||||USSD|*135*35*6#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:20:47:004|1561900836175|||USSDBrowsing|971520001714||||||||||||USSD|*135*35*6*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:20:55:650|1561900836175|2533420856924|10.95.214.136|RACT|971520001714||RACT_AED2DailySlBundle120MB|0|SUCCESS|1001|1447|AED2DailySlBundle120MB|Data|200|200|1 Days|USSD|*135*35*6*1*1#|Reserve-Commit|5|2|USSD|UAE|ScapV2||false|||||||||||||01/07/2019 17:20:55:000||||Renewal|SubscriptionInProgress|||0|2533420856924|Your request is being processed. You will receive a confirmation SMS shortly.||||||||||||||||||Bundle|D_PurchDailySocD_1_R|C_PurchDailySocData_1_R|SplRecSocServPC1;DailyRecSocData1||||||false|
30/06/2019 17:20:55:703|1561900836175|||USSDBrowsing|971520001714||||||||||||USSD|*135*35*6*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
30/06/2019 17:20:56:669|2533420856924|2533420858110|10.95.214.136|RACT|971520001714||RACT_AED2DailySlBundle120MB|0|SUCCESS|1001|1447|AED2DailySlBundle120MB|Data|200|0|1 Days|WEB|TIBCO RACT_UAE_Data_1447||5|2|TIBCO|UAE|ScapV2||true|||||||||||||01/07/2019 17:20:56:000||||Renewal|SubscriptionCompleted|||2|2533420858110|1000 International Minutes with Friends & Family bundles starting from 69 dirhams. Dial *135*90#. Thanks for using du interactive service||||||||||||||||||||C_SplRecSocServConf_N|SplRecSocServPC1,1||||||true|
