Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|Input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name|TDF_Voucher_Type|TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
26/08/2019 18:24:01:422|1566829441280|200025745395057910|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*30#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
26/08/2019 18:24:06:770|1566829441280|200025745449373423|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*30*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
26/08/2019 18:25:06:258|1000181915|200015056043824960|10.95.214.136|BCHK|971520001505||BCHK_ZccBalanceEnquiry1|0|SUCCESS|1009|2273|ZccBalanceEnquiry1|Others|0|0|9999 Days|TIBCO|TIBCO BCHK_UAE_Others_2273||5|2|TIBCO|UAE|ScapV2|FALSE|true||||||||||||26/08/2019 18:25:06:000|10/01/2047 18:25:06:000||||adhoc||||0|200015056043824960|You have successfully subscribed this promotion.||||0|||||||||||||||||||||||false|
26/08/2019 18:25:37:105|116682|200069806352055747|10.95.214.136|NACT|971520006980||NACT_MSISDN_delete|0|SUCCESS|1102|1067|MSISDN_delete|Others|0|0|1 Hours|HPSA|HPSA NACT_UAE_Others_1067||5|2|HPSA|UAE|AIR|TRUE|true||||||||||||26/08/2019 18:25:37:000|26/08/2019 19:25:37:000|||active|adhoc||||1|200069806352055747|Hi,Your request for MSISDN deletion has been completed successfully.||||0|||||||||||||||||||||||false|
26/08/2019 18:25:58:132|234871272|200061556560096122|10.95.214.136|NACT|971520006155||NACT_HCActNatAdOn3_HardCapMinsNat420|0|SUCCESS|1051|1078|HCActNatAdOn3_HardCapMinsNat420|Others|0|0|9999 Days|TIBCO|TIBCO NACT_UAE_Others_1078|Reserve-Commit|5|2|TIBCO|UAE|ScapV2|FALSE|false|07|||||||||||26/08/2019 18:25:58:000|10/01/2047 18:25:58:000|||active|adhoc||||2|200061556560096122|You have successfully subscribed this promotion.||||0|||||10|||||||||||C_HardCapMinsNat420_R|C_HardCapMinsNat420_PC||||||false|
26/08/2019 18:28:36:572|1566829716447|200025748146644991|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*30#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
26/08/2019 18:28:41:889|1566829716447|200025748200554625|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*30*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
26/08/2019 18:29:34:818|1000181934|200019468728972649|10.95.214.136|BCHK|971520001946||BCHK_ZccBalanceEnquiry1|0|SUCCESS|1001|2273|ZccBalanceEnquiry1|Others|0|0|9999 Days|TIBCO|TIBCO BCHK_UAE_Others_2273||5|2|TIBCO|UAE|ScapV2|FALSE|true||||||||||||26/08/2019 18:29:34:000|10/01/2047 18:29:34:000||||adhoc||||0|200019468728972649|You have successfully subscribed this promotion.||||0|||||||||||||||||||||||false|
26/08/2019 18:31:59:338|1000181946|200069800174674665|10.95.214.136|BCHK|971520006980||BCHK_ZccBalanceEnquiry1|0|SUCCESS|1152|2273|ZccBalanceEnquiry1|Others|0|0|9999 Days|TIBCO|TIBCO BCHK_UAE_Others_2273||5|2|TIBCO|UAE|ScapV2|FALSE|true||||||||||||26/08/2019 18:31:59:000|10/01/2047 18:31:59:000||||adhoc||||0|200069800174674665|You have successfully subscribed this promotion.||||0|||||||||||||||||||||||false|
26/08/2019 18:32:14:559|1566829934420|200025740326522327|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*30#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
26/08/2019 18:32:19:828|1566829934420|200025740379948958|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*30*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
