Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|Input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name|TDF_Voucher_Type|TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
28/08/2019 19:04:09:065|1567004648927|200025747471457972|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*246#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/08/2019 19:04:13:142|1567004648927|200025747513026012|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*246*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/08/2019 19:06:00:278|19594194845110541|200062578582091928|10.95.214.136|DACT|971520006257||DACT_ICP_Monthly2|0|SUCCESS|1001|2100|ICP_Monthly2|Data|1200000|0|30 Days|RS|RS DACT_UAE_Data_2100|Reserve-Commit|5|2|RS|UAE|ScapV2|TRUE|false||||||||||||21/08/2019 19:03:00:000|28/08/2019 19:06:00:000||12/10/2019 19:06:00:000|inactive|renewal||parking|28/08/2019 19:06:00:000|0|200062578582091928|Internet Calling Pack Plus has expired on your line. SMS 'MICP2' to 1012 to reactivate this service any time.||||0|||||||||||||||||||||||false|
28/08/2019 19:10:13:059|1000185350|200066421111775489|10.95.214.136|BCHK|971520006642||BCHK_ZccBalanceEnquiry1|0|SUCCESS|1051|2273|ZccBalanceEnquiry1|Others|0|0|9999 Days|TIBCO|TIBCO BCHK_UAE_Others_2273||5|2|TIBCO|UAE|ScapV2|FALSE|true||||||||||||28/08/2019 19:10:13:000|12/01/2047 19:10:13:000||||adhoc||||0|200066421111775489|You have successfully subscribed this promotion.||||0|||||||||||||||||||||||false|
28/08/2019 19:10:14:115|1000185356|200066421122367463|10.95.214.136|BCHK|971520006642||BCHK_ZccBalanceEnquiry1|0|SUCCESS|1051|2273|ZccBalanceEnquiry1|Others|0|0|9999 Days|TIBCO|TIBCO BCHK_UAE_Others_2273||5|2|TIBCO|UAE|ScapV2|FALSE|true||||||||||||28/08/2019 19:10:14:000|12/01/2047 19:10:14:000||||adhoc||||0|200066421122367463|You have successfully subscribed this promotion.||||0|||||||||||||||||||||||false|
28/08/2019 19:10:21:022|1000185365|200066421191430448|10.95.214.136|BCHK|971520006642||BCHK_ZccBalanceEnquiry1|0|SUCCESS|1051|2273|ZccBalanceEnquiry1|Others|0|0|9999 Days|TIBCO|TIBCO BCHK_UAE_Others_2273||5|2|TIBCO|UAE|ScapV2|FALSE|true||||||||||||28/08/2019 19:10:21:000|12/01/2047 19:10:21:000||||adhoc||||0|200066421191430448|You have successfully subscribed this promotion.||||0|||||||||||||||||||||||false|
28/08/2019 19:10:41:954|1567005041847|200025741400545512|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*246#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/08/2019 19:10:45:729|1567005041847|200025741438896303|10.95.214.136|USSDBrowsing|971520002574|||0|SUCCESS||||||||USSD|*135*246*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
28/08/2019 19:12:44:680|1000185377|230001862627667270|10.95.214.136|BCHK|971523000186||BCHK_ZccBalanceEnquiry1|0|SUCCESS|1001|2273|ZccBalanceEnquiry1|Others|0|0|9999 Days|TIBCO|TIBCO BCHK_UAE_Others_2273||5|1|TIBCO|UAE|ScapV2|FALSE|true||||||||||||28/08/2019 19:12:44:000|12/01/2047 19:12:44:000||||adhoc||||0|230001862627667270|You have successfully subscribed this promotion.||||0|||||||||||||||||||||||false|
28/08/2019 19:14:07:125|202769463|200066423450535905|10.95.214.136|OPTOUT|971520006642||OPOT_BusHybridInt1|0|SUCCESS|1051|2227|BusHybridInt1|Combo|0|0|30 Days|HPSA|HPSA OPOT_UAE_Combo_2227|Reserve-Commit|0|2|HPSA|UAE|ScapV2|FALSE|false||||||||||||28/08/2019 19:14:07:000|27/09/2019 18:15:09:000||||renewal||||0|200066423450535905|||||0|||||||||||||||||BusHybridInt1 _PC,1||||||false|
